file_id,initial_ip_client,initial_ip_server,initial_port_client,initial_port_server,time_first,time_last,connection_duration,version_negotiation_occurred,retry_occurred,new_connection_ids_issued_server,retired_cid_count_client,retired_cid_count_server,new_connection_ids_issued_client,migration_type,path_validation_initiated,connection_close_type,bytes_sent_client,bytes_sent_server,packets_sent_client,packets_sent_server,quic_packets_sent_client,quic_packets_sent_server,handshake_duration,time_to_migration,migration_duration,packets_before_migration,app_data_bytes_before_migration,padding_bytes_in_validation_pc,padding_bytes_in_validation_pr,mtu,total_bidi_streams_client_init,total_bidi_streams_server_init,total_udi_streams_client_init,total_udi_streams_server_init,bytes_bidi_streams_client_init_client_sent,bytes_bidi_streams_client_init_server_sent,bytes_bidi_streams_server_init_client_sent,bytes_bidi_streams_server_init_server_sent,bytes_udi_streams_client_init,bytes_udi_streams_server_init,ack_sent_client,ack_sent_server,crypto_sent_client,crypto_sent_server,handshake_done_client,handshake_done_server,path_challenge_sent_client,path_challenge_sent_server,path_response_sent_client,path_response_sent_server,first_path_validation_response_latency
1,127.0.0.2,127.0.0.1,43577,4433,2025-10-12T15-46-09.836296,2025-10-12T15-46-09.847429,11.132955551147461,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,5.978107452392578,7.793903350830078,0.7460117340087891,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
10,127.0.0.2,127.0.0.1,48704,4433,2025-10-12T15-46-33.009481,2025-10-12T15-46-33.019256,9.775161743164062,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,6.030082702636719,7.547140121459961,0.9589195251464844,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
11,127.0.0.2,127.0.0.1,36196,4433,2025-10-12T15-46-33.915813,2025-10-12T15-46-33.924716,8.903026580810547,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,6.058931350708008,7.137060165405273,0.4630088806152344,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
12,127.0.0.2,127.0.0.1,36447,4433,2025-10-12T15-46-36.471184,2025-10-12T15-46-36.479082,7.898092269897461,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,5.2700042724609375,6.206035614013672,0.43892860412597656,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
13,127.0.0.2,127.0.0.1,32806,4433,2025-10-12T15-46-38.985982,2025-10-12T15-46-38.995818,9.835958480834961,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,6.604909896850586,7.956027984619141,0.49996376037597656,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
14,127.0.0.2,127.0.0.1,40193,4433,2025-10-12T15-46-41.539668,2025-10-12T15-46-41.548170,8.502006530761719,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,5.650043487548828,6.709814071655273,0.4971027374267578,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
15,127.0.0.2,127.0.0.1,36349,4433,2025-10-12T15-46-44.082411,2025-10-12T15-46-44.090442,8.030891418457031,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,5.755901336669922,6.587982177734375,0.3619194030761719,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
16,127.0.0.2,127.0.0.1,53890,4433,2025-10-12T15-46-46.633102,2025-10-12T15-46-46.645096,11.994123458862305,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,8.105039596557617,9.725093841552734,0.8530616760253906,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
17,127.0.0.2,127.0.0.1,59739,4433,2025-10-12T15-46-49.159164,2025-10-12T15-46-49.167914,8.749961853027344,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,5.695819854736328,6.880044937133789,0.43702125549316406,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
18,127.0.0.2,127.0.0.1,54983,4433,2025-10-12T15-46-51.738565,2025-10-12T15-46-51.747195,8.630037307739258,1,1,1,0,0,1,IP_AND_PORT,1,CLIENT_CLOSE,7402,4597,13,11,18,15,6.236076354980469,7.148981094360352,0.3790855407714844,13,47,1303,0,1398,1,0,4,4,72,115,0,0,47,47,4,4,3,4,0,1,1,0,1,0,
