frame_number,delta_time,packet_length,packet_direction,header_form,count_initial,count_0rtt,count_handshake,count_1rtt,count_retry,count_vn,count_ack,count_padding,count_connection_close,count_path_challenge,count_path_response,count_new_connection_id,count_retire_cid,count_ping,count_crypto,count_handshake_done,http3_stream_count,http3_fin_count,stream_length,stream_type_count,capture_id
1,1e-06,1250,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3172
2,0.009243897802773099,1250,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3172
3,0.0010374990807303984,220,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3172
4,0.0014131171080380021,910,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3172
5,0.0010374990807303984,600,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3172
6,0.0005187495403651992,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3172
7,0.0005187495403651992,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3172
8,0.0005187495403651992,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3172
9,0.0005187495403651992,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3172
10,0.0005187495403651992,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3172
11,0.0005187495403651992,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3172
12,0.0005187495403651992,80,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3172
13,0.0020749981614607968,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,3172
14,0.0020749981614607968,100,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,0,3172
15,0.006681956915406402,64,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
16,0.00010374990807303983,86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,0,3172
17,0.040664546498582574,276,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,241,0,3172
18,0.02440936143570559,65,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
19,0.00010374990807303983,62,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,0,3172
20,0.01902979652009291,61,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
21,0.029766941517833566,64,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3172
22,15.20367705774622,64,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3172
23,0.0020749981614607968,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3172
24,0.00010374990807303983,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
25,0.0037603741363943684,64,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
26,0.00010374990807303983,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
27,0.016490155518674405,66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
28,0.00010374990807303983,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
29,0.0177615495238857,64,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
30,0.12462107730693023,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
31,0.00803785143232097,66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
32,0.1051989302244186,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
33,0.014934048688063882,61,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
34,0.046518018925141305,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
35,0.007322865820561024,64,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
36,0.0029181404950244646,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
37,0.016940880591445388,66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
38,0.030595428960674312,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
39,0.008405916383049723,66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
40,0.07538862511996544,95,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,0,3172
41,0.013876114595228566,66,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3172
