frame_number,delta_time,packet_length,packet_direction,header_form,count_initial,count_0rtt,count_handshake,count_1rtt,count_retry,count_vn,count_ack,count_padding,count_connection_close,count_path_challenge,count_path_response,count_new_connection_id,count_retire_cid,http3_stream_count,http3_fin_count
371,0.051386,1232,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
372,0.000216,79,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
373,0.000491,1232,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,0.00016,121,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
375,0.00046,1232,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0.002193,1232,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
377,0.000113,501,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
378,0.001844,1382,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,0,0
379,0.000774,540,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
380,0.000115,76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
381,8.9e-05,76,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
382,8.7e-05,101,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
383,4.1e-05,75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
384,0.000188,1382,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
385,0.000171,75,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
386,0.000293,1382,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
387,3.9e-05,75,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
388,0.000362,84,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
389,0.000202,75,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
390,0.000416,94,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
391,5.3e-05,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
392,5.7e-05,76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
393,6.2e-05,147,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
394,4.7e-05,101,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
395,0.000479,310,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
396,0.000491,81,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
