frame_number,delta_time,packet_length,packet_direction,header_form,count_initial,count_0rtt,count_handshake,count_1rtt,count_retry,count_vn,count_ack,count_padding,count_connection_close,count_path_challenge,count_path_response,count_new_connection_id,count_retire_cid,count_crypto,count_handshake_done,http3_stream_count,http3_fin_count,stream_length,stream_type_count
1,0.0,1248,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.000222,95,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.000431,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,0.000179,137,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.000307,1248,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0.001388,1248,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
7,5.8e-05,517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0.003119,1398,0,1,1,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0
9,0.00054,556,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,19,1
10,5.7e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
11,2e-05,92,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
12,1.8e-05,117,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1
13,0.000193,91,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,9.8e-05,1398,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
15,0.000234,1441,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.00031,100,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
17,0.000181,91,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,0.000338,110,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,19,1
19,5.1e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
20,1.7e-05,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
21,1.6e-05,163,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,72,1
22,1.8e-05,117,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1
23,0.000448,211,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,115,1
24,0.000328,97,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
