step,mloss,gloss,loss
100.0,0.3801,1.06,1.4401000000000002
200.0,0.325,1.0356,1.3606
300.0,0.3161,1.0263,1.3424
400.0,0.3258,1.0229,1.3487
500.0,0.2943,1.0147,1.309
600.0,0.252,1.0088,1.2608
700.0,0.2095,0.9916,1.2011
800.0,0.1935,0.9814,1.1749
900.0,0.1778,0.973,1.1508
1000.0,0.18,0.9549,1.1349
1100.0,0.1473,0.921,1.0683
1200.0,0.1354,0.8968,1.0322
1300.0,0.1184,0.861,0.9794
1400.0,0.1097,0.8448,0.9545
1500.0,0.106,0.8144,0.9204
1600.0,0.1201,0.8231,0.9432
1700.0,0.105,0.7685,0.8734999999999999
1800.0,0.1004,0.727,0.8274
1900.0,0.1022,0.6882,0.7904
2000.0,0.1047,0.6365,0.7412
2100.0,0.0963,0.5812,0.6775
2200.0,0.0971,0.5424,0.6395
2300.0,0.0956,0.5145,0.6101
2400.0,0.0993,0.5092,0.6085
2500.0,0.0961,0.4767,0.5728
2600.0,0.0919,0.44,0.5319
2700.0,0.0952,0.4196,0.5147999999999999
2800.0,0.0947,0.4058,0.5005
2900.0,0.0939,0.4057,0.4996
3000.0,0.0911,0.3915,0.48260000000000003
3100.0,0.0945,0.3795,0.474
3200.0,0.0923,0.3578,0.4501
3300.0,0.0905,0.3381,0.4286
3400.0,0.0936,0.326,0.41960000000000003
3500.0,0.0919,0.3199,0.4118
3600.0,0.0904,0.3157,0.40609999999999996
3700.0,0.0916,0.3076,0.3992
3800.0,0.0899,0.2998,0.3897
3900.0,0.0921,0.2993,0.3914
4000.0,0.0874,0.2925,0.3799
4100.0,0.0888,0.2907,0.3795
4200.0,0.0916,0.2864,0.378
4300.0,0.0885,0.2832,0.37170000000000003
4400.0,0.0903,0.2822,0.3725
4500.0,0.089,0.2811,0.3701
4600.0,0.0911,0.2809,0.372
4700.0,0.0912,0.2755,0.3667
4800.0,0.088,0.2723,0.36029999999999995
4900.0,0.089,0.2725,0.36150000000000004
5000.0,0.0864,0.2676,0.354
5100.0,0.0854,0.2724,0.3578
5200.0,0.0924,0.275,0.3674
5300.0,0.0898,0.2681,0.3579
5400.0,0.0876,0.2677,0.3553
5500.0,0.0866,0.2677,0.3543
5600.0,0.0859,0.2673,0.35319999999999996
5700.0,0.086,0.2632,0.34919999999999995
5800.0,0.0853,0.2634,0.3487
5900.0,0.0853,0.2615,0.3468
6000.0,0.0875,0.2577,0.34519999999999995
6100.0,0.089,0.2602,0.34919999999999995
6200.0,0.088,0.2607,0.3487
6300.0,0.0856,0.2569,0.3425
6400.0,0.0873,0.2608,0.34809999999999997
6500.0,0.0815,0.2515,0.333
6600.0,0.0878,0.2533,0.3411
6700.0,0.0862,0.2567,0.3429
6800.0,0.0871,0.2522,0.3393
6900.0,0.0844,0.2573,0.3417
7000.0,0.0839,0.254,0.3379
7100.0,0.0858,0.2528,0.3386
7200.0,0.0886,0.2532,0.3418
7300.0,0.0843,0.2488,0.3331
7400.0,0.0839,0.2488,0.3327
7500.0,0.0883,0.2532,0.34149999999999997
7600.0,0.087,0.2523,0.33930000000000005
7700.0,0.0873,0.2488,0.3361
7800.0,0.0848,0.2479,0.3327
7900.0,0.0861,0.2458,0.3319
8000.0,0.0853,0.2467,0.332
8100.0,0.0837,0.2486,0.3323
8200.0,0.0862,0.2494,0.3356
8300.0,0.0868,0.251,0.3378
8400.0,0.0868,0.2445,0.3313
8500.0,0.0889,0.248,0.3369
8600.0,0.0865,0.2427,0.3292
8700.0,0.0849,0.2454,0.33030000000000004
8800.0,0.0882,0.2453,0.3335
8900.0,0.0851,0.2433,0.32839999999999997
9000.0,0.0826,0.2406,0.32320000000000004
9100.0,0.0851,0.2424,0.3275
9200.0,0.0843,0.2425,0.3268
9300.0,0.0817,0.2377,0.3194
9400.0,0.0881,0.2428,0.33089999999999997
9500.0,0.084,0.2386,0.3226
9600.0,0.0844,0.2408,0.3252
9700.0,0.083,0.2394,0.3224
9800.0,0.0818,0.2381,0.3199
9900.0,0.089,0.2377,0.3267
10000.0,0.0841,0.2379,0.322
10100.0,0.0841,0.2413,0.32539999999999997
10200.0,0.0822,0.2368,0.319
10300.0,0.0877,0.2455,0.3332
10400.0,0.0846,0.2355,0.3201
10500.0,0.0855,0.2376,0.3231
10600.0,0.0834,0.2379,0.32130000000000003
10700.0,0.0809,0.235,0.31589999999999996
10800.0,0.0834,0.2338,0.31720000000000004
10900.0,0.0842,0.235,0.3192
11000.0,0.0836,0.2362,0.3198
11100.0,0.0842,0.2349,0.3191
11200.0,0.086,0.2324,0.3184
11300.0,0.0832,0.2352,0.3184
11400.0,0.0847,0.2331,0.31779999999999997
11500.0,0.0869,0.2346,0.3215
11600.0,0.086,0.2351,0.3211
11700.0,0.0816,0.2318,0.3134
11800.0,0.0802,0.2325,0.3127
11900.0,0.0841,0.2317,0.31579999999999997
12000.0,0.0821,0.2322,0.3143
12100.0,0.0806,0.2319,0.3125
12200.0,0.0811,0.2288,0.3099
